"idx","nome","categoria","subcategoria","grupoContabil","confianca"
"14","Soquete Hexagonal 7","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"15","Calça - 48","Uniforme / Fardamento","Uniforme — parte inferior","EPI (separável de EPI de segurança — sem exigência de CA)","alta"
"16","Bico de Ar (DG-10)","Ferramentas Elétricas/Pneumáticas e Equipamentos","Linha de ar comprimido","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"17","Espatula Feltro","Plotagem e Adesivação","Ferramentas de aplicação de adesivo","PRODUTIVO › Adesivos / Máscara / Impressão","alta"
"18","Verniz Pu Auto S/FO (900ml) (543.010)","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Vernizes e clears (acabamento)","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"19","Esmerilhadeira Bat/11.000rpm (GWS-8 LI5)","Ferramentas Elétricas/Pneumáticas e Equipamentos","Ferramentas elétricas de abrasão e acabamento","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"20","Combinada Speedy 16","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","media"
"21","Aditivo Anticratera (08780)","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Aditivos e ajustes de mistura","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"22","Xirallic Galaxy Blue (UC624)","Matéria-Prima — Tintas e Toners (Cor)","Toners de efeito (alumínios, perolizados, xirallic)","MATÉRIA-PRIMA › Tintas","alta"
"23","Acelerador de Secagem (0068)","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Aditivos e ajustes de mistura","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"24","Bermuda - 36","Uniforme / Fardamento","Uniforme — parte inferior","EPI (separável de EPI de segurança — sem exigência de CA)","alta"
"25","Soquete Sextavado 12 Longo","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"26","Camisa - GG","Uniforme / Fardamento","Uniforme — parte superior","EPI (separável de EPI de segurança — sem exigência de CA)","alta"
"27","Martelete Pneumatico (PRO-300)","Ferramentas Elétricas/Pneumáticas e Equipamentos","Ferramentas de fixação e furação","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","media"
"28","kit Bits Phhillips","Ferramentas Manuais e Medição","Chaves de fenda, catraca e alicates","INVESTIMENTO › Internos (ativo durável)","alta"
"29","Aplicador Calafetador Manual","Aplicadores e Auxiliares de Mistura","Aplicadores de selante (calafetadores)","PRODUTIVO › Consumíveis de aplicação","alta"
"30","Galocha - 41","EPI — Equipamentos de Proteção Individual","Calçados de segurança","EPI","alta"
"31","Soquete Sextavado 13 Longo","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"32","Escada de Alumínio (7 degraus)","Ferramentas Elétricas/Pneumáticas e Equipamentos","Acesso, apoio e infraestrutura elétrica","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"33","Pistola Pintura K3","Ferramentas Elétricas/Pneumáticas e Equipamentos","Pistolas de pintura e aerografia","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"34","Manômetro (REB40-04M)","Ferramentas Elétricas/Pneumáticas e Equipamentos","Linha de ar comprimido","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"35","Botina Reposição - 37","EPI — Equipamentos de Proteção Individual","Calçados de segurança","EPI","alta"
"36","Adesivo Vinil King Blue (651 #049)","Plotagem e Adesivação","Vinil de recorte / adesivo colorido","PRODUTIVO › Adesivos / Máscara / Impressão","alta"
"37","Pacote Papel Higiênico c/ 8 unidades","Apoio — Escritório, Cozinha, Limpeza e Cortesia","Higiene e limpeza/zeladoria","ESCRITÓRIO / COZINHA-ALIMENTAÇÃO / DESPESAS FIXAS / Cortesia","alta"
"38","Verniz (F390.05)","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Vernizes e clears (acabamento)","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"39","Endurecedor Verniz Fosco (H0010)","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Endurecedores e catalisadores","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"40","Clear Pu (113.0050)","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Vernizes e clears (acabamento)","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"41","Cinta Catraca Pequena (3,5m x 2,5cm)","Peças, Fixação e Conexões","Mangueiras, conduletes e suportes (hidráulica/elétrica de parede)","MANUTENÇÃO (reposição de equipamento)","baixa"
"42","Extensor p/ Soquete pequeno (3/8)","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"43","Chave Torx 27 (T-27)","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"44","Verniz (8937)","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Vernizes e clears (acabamento)","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"45","Chave Catraca Grande","Ferramentas Manuais e Medição","Chaves de fenda, catraca e alicates","INVESTIMENTO › Internos (ativo durável)","alta"
"46","Serra Tico Tico (DWE300-)","Ferramentas Elétricas/Pneumáticas e Equipamentos","Ferramentas de fixação e furação","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","media"
"47","Chave Catraca Media","Ferramentas Manuais e Medição","Chaves de fenda, catraca e alicates","INVESTIMENTO › Internos (ativo durável)","alta"
"48","Espatula Celuloide","Aplicadores e Auxiliares de Mistura","Espátulas de funilaria/massa","PRODUTIVO › Consumíveis de aplicação","media"
"49","Vermelho Intenso (UC269)","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"50","Caixa Luva Nitrílica G","EPI — Equipamentos de Proteção Individual","Proteção das mãos — luvas descartáveis","EPI","alta"
"51","Adesivo Preto Jateado","Plotagem e Adesivação","Vinil de recorte / adesivo colorido","PRODUTIVO › Adesivos / Máscara / Impressão","alta"
"52","Solução Ajuste Metalico (UC580)","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Aditivos e ajustes de mistura","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"53","Trava Rosca (271)","Peças, Fixação e Conexões","Conexões e redução (pneumática/hidráulica)","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","baixa"
"54","Regulador de Pressão (RE40-04)","Ferramentas Elétricas/Pneumáticas e Equipamentos","Linha de ar comprimido","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"55","Adesivo Vinil White (651 #010)","Plotagem e Adesivação","Vinil de recorte / adesivo colorido","PRODUTIVO › Adesivos / Máscara / Impressão","alta"
"56","Garra Jacaré 600a","Ferramentas Elétricas/Pneumáticas e Equipamentos","Acesso, apoio e infraestrutura elétrica","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","baixa"
"57","Azul (AC177)","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"58","Lixa Hookit P320","Abrasivos e Polimento","Discos de lixa Hookit (orbital / velcro)","PRODUTIVO › Consumíveis abrasivos (sugerir subconta 'Abrasivos')","alta"
"59","Caixa Luva Látex-M","EPI — Equipamentos de Proteção Individual","Proteção das mãos — luvas descartáveis","EPI","alta"
"60","Parafuso philips Brocante Flangeado 19x4,2mm","Peças, Fixação e Conexões","Fixadores — parafusos e porcas","PRODUTIVO › Peças","alta"
"61","Perolizado Vermelho Graudo (UC609)","Matéria-Prima — Tintas e Toners (Cor)","Toners de efeito (alumínios, perolizados, xirallic)","MATÉRIA-PRIMA › Tintas","alta"
"62","Esmerilhadeira (GWS-9)","Ferramentas Elétricas/Pneumáticas e Equipamentos","Ferramentas elétricas de abrasão e acabamento","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"63","Creme Desengraxante","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Preparadores de superfície (desengraxante/removedor)","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","media"
"64","Vermelho Scarlat Transparente (UC268)","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"65","Faixa Refletiva 3M (Direita)","Plotagem e Adesivação","Faixas e películas refletivas","PRODUTIVO › Adesivos / Máscara / Impressão","alta"
"66","Combinada 16","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","media"
"67","Soquete Sextavado 8","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"68","Bermuda - 48","Uniforme / Fardamento","Uniforme — parte inferior","EPI (separável de EPI de segurança — sem exigência de CA)","alta"
"69","Rebite Rosca Sextavado 630 (702)","Peças, Fixação e Conexões","Fixadores — rebites","PRODUTIVO › Peças","alta"
"70","Parafuso Allen M06 X 0,40","Peças, Fixação e Conexões","Fixadores — parafusos e porcas","PRODUTIVO › Peças","alta"
"71","Prime PU P/plas 1k (3,6L) (513.030)","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Primers, wash primers e seladoras (fundos)","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"72","Combinada Catraca 12","Ferramentas Manuais e Medição","Chaves de fenda, catraca e alicates","INVESTIMENTO › Internos (ativo durável)","alta"
"73","Botina Reposição - 39","EPI — Equipamentos de Proteção Individual","Calçados de segurança","EPI","alta"
"74","Botina Reposição - 41","EPI — Equipamentos de Proteção Individual","Calçados de segurança","EPI","alta"
"75","Botina Reposição - 35","EPI — Equipamentos de Proteção Individual","Calçados de segurança","EPI","alta"
"76","Acrilico Preto Cadillac (536.8540)","Matéria-Prima — Tintas e Toners (Cor)","Tintas e bases prontas (acrílico, sintético, base coat)","MATÉRIA-PRIMA › Tintas","alta"
"77","Alicate Pressão","Ferramentas Manuais e Medição","Chaves de fenda, catraca e alicates","INVESTIMENTO › Internos (ativo durável)","alta"
"78","Chave Biela L12","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"79","Soquete Sextavado 9","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"80","Amarelo Limpo (UC273)","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"81","Pacote Papel Sulfite (A4)","Apoio — Escritório, Cozinha, Limpeza e Cortesia","Escritório / administrativo","ESCRITÓRIO / COZINHA-ALIMENTAÇÃO / DESPESAS FIXAS / Cortesia","alta"
"82","Extensão P/ Soquete Pequeno (1/2)","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"83","Rebite de Repuxo 630 (33-9)","Peças, Fixação e Conexões","Fixadores — rebites","PRODUTIVO › Peças","alta"
"84","Bermuda - 44","Uniforme / Fardamento","Uniforme — parte inferior","EPI (separável de EPI de segurança — sem exigência de CA)","alta"
"85","Parafuso Sextavado Inox 5/16x1","Peças, Fixação e Conexões","Fixadores — parafusos e porcas","PRODUTIVO › Peças","alta"
"86","Banqueta Dobravel","Ferramentas Elétricas/Pneumáticas e Equipamentos","Acesso, apoio e infraestrutura elétrica","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"87","Parafuso Sextavado Inox 5/16 X 7/8","Peças, Fixação e Conexões","Fixadores — parafusos e porcas","PRODUTIVO › Peças","alta"
"88","Chave Biela L16","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"89","Flexibilizante (3402.04)","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Aditivos e ajustes de mistura","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"90","Soquete Torx T-20","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"91","Adesivo Vinil Yellow (021)","Plotagem e Adesivação","Vinil de recorte / adesivo colorido","PRODUTIVO › Adesivos / Máscara / Impressão","alta"
"92","Vermelho Oxido","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"93","Verniz Fosco","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Vernizes e clears (acabamento)","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"94","Primer Multfill","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Primers, wash primers e seladoras (fundos)","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"95","Lixa Folha D'agua P400","Abrasivos e Polimento","Lixas em folha (manual / d'água)","PRODUTIVO › Consumíveis abrasivos (sugerir subconta 'Abrasivos')","alta"
"96","Refil de Gás","Ferramentas Elétricas/Pneumáticas e Equipamentos","Fontes de calor (maçarico/soprador)","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","media"
"97","Base Branca","Matéria-Prima — Tintas e Toners (Cor)","Tintas e bases prontas (acrílico, sintético, base coat)","MATÉRIA-PRIMA › Tintas","alta"
"98","Chave Biela L14","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"99","Clear Laca","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Vernizes e clears (acabamento)","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"100","Tinta para impressora","Apoio — Escritório, Cozinha, Limpeza e Cortesia","Escritório / administrativo","ESCRITÓRIO / COZINHA-ALIMENTAÇÃO / DESPESAS FIXAS / Cortesia","alta"
"101","Endurecedor","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Endurecedores e catalisadores","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","media"
"102","Azul Esverdeado","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"103","Clear Acrilico","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Vernizes e clears (acabamento)","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"104","Chave Biela L13","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"105","Galocha - 39","EPI — Equipamentos de Proteção Individual","Calçados de segurança","EPI","alta"
"106","Esmerilhadeira","Ferramentas Elétricas/Pneumáticas e Equipamentos","Ferramentas elétricas de abrasão e acabamento","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"107","Lixa Folha 320","Abrasivos e Polimento","Lixas em folha (manual / d'água)","PRODUTIVO › Consumíveis abrasivos (sugerir subconta 'Abrasivos')","alta"
"108","Combinada Speedy 15","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","media"
"109","Faixa Refletiva Lateral Direita","Plotagem e Adesivação","Faixas e películas refletivas","PRODUTIVO › Adesivos / Máscara / Impressão","alta"
"110","Chave Canhão 11","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"111","Amarelo Oxido","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"112","Chave Canhão 10","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"113","Mangueira Irrigação","Peças, Fixação e Conexões","Mangueiras, conduletes e suportes (hidráulica/elétrica de parede)","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","alta"
"114","Xirallic Solaris Red","Matéria-Prima — Tintas e Toners (Cor)","Toners de efeito (alumínios, perolizados, xirallic)","MATÉRIA-PRIMA › Tintas","alta"
"115","Esquadro Carpinteiro","Ferramentas Manuais e Medição","Instrumentos de medição e alinhamento","INVESTIMENTO › Internos (ativo durável)","alta"
"116","Balde P/ Pçs de Varão","Peças, Fixação e Conexões","Peças de manutenção de equipamento (filtros, mancais, borrachas, gás)","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","baixa"
"117","Vermelho Extra Limpo","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"118","Chave Biela L9","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"119","Lamina Norma","Plotagem e Adesivação","Equipamento e consumíveis de plotter","PRODUTIVO › Adesivos / Máscara / Impressão","media"
"120","Resina Laminação","Funilaria e Reparo de Carroceria","Laminação e fibra de vidro","PRODUTIVO › Massas","media"
"121","Soquete Sextavado 19","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"122","Branco Especial","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"123","Rolo Fibra Sintética","Aplicadores e Auxiliares de Mistura","Rolos de pintura (capas e suportes)","PRODUTIVO › Consumíveis de aplicação","alta"
"124","Soquete Hexagonal 5","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"125","Violeta","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"126","Aluminio Super Graúdo","Matéria-Prima — Tintas e Toners (Cor)","Toners de efeito (alumínios, perolizados, xirallic)","MATÉRIA-PRIMA › Tintas","alta"
"127","Amarelo Limão Vinilico Brilhante","Matéria-Prima — Tintas e Toners (Cor)","Linha vinílica de plotagem (tintas, vernizes e solvente)","MATÉRIA-PRIMA › Tintas","alta"
"128","Amarelo Médio Vinilico Brilhante","Matéria-Prima — Tintas e Toners (Cor)","Linha vinílica de plotagem (tintas, vernizes e solvente)","MATÉRIA-PRIMA › Tintas","alta"
"129","Solvente Vinilico","Matéria-Prima — Tintas e Toners (Cor)","Linha vinílica de plotagem (tintas, vernizes e solvente)","MATÉRIA-PRIMA › Tintas","alta"
"130","Calça","Uniforme / Fardamento","Uniforme — parte inferior","EPI (separável de EPI de segurança — sem exigência de CA)","alta"
"131","Amarelo Ouro Especial","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"132","Faixa Refletiva 3M","Plotagem e Adesivação","Faixas e películas refletivas","PRODUTIVO › Adesivos / Máscara / Impressão","alta"
"133","Chave Biela L19","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"134","Conjunto Chave Allen","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"135","Rebite de Repuxo 619","Peças, Fixação e Conexões","Fixadores — rebites","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","alta"
"136","Lixa Hookit P400","Abrasivos e Polimento","Discos de lixa Hookit (orbital / velcro)","PRODUTIVO › Consumíveis abrasivos (sugerir subconta 'Abrasivos')","alta"
"137","Azul Anil Vinilico Brilhante","Matéria-Prima — Tintas e Toners (Cor)","Linha vinílica de plotagem (tintas, vernizes e solvente)","MATÉRIA-PRIMA › Tintas","alta"
"138","Azul Médio Vinilico Brilhante","Matéria-Prima — Tintas e Toners (Cor)","Linha vinílica de plotagem (tintas, vernizes e solvente)","MATÉRIA-PRIMA › Tintas","alta"
"139","Funil Reto","Aplicadores e Auxiliares de Mistura","Dosagem, transferência e filtragem","PRODUTIVO › Consumíveis de aplicação","alta"
"140","Chave Biela L11","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"141","Condulete Pvc Preto","Peças, Fixação e Conexões","Mangueiras, conduletes e suportes (hidráulica/elétrica de parede)","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","alta"
"142","Abraçadeira Radial Inox","Peças, Fixação e Conexões","Abraçadeiras e presilhas","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","alta"
"143","Lampada Led","Ferramentas Elétricas/Pneumáticas e Equipamentos","Acesso, apoio e infraestrutura elétrica","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","baixa"
"144","Chave Biela L15","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"145","Chave Biela L17","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"146","Perolizado Azul Esverdeado","Matéria-Prima — Tintas e Toners (Cor)","Toners de efeito (alumínios, perolizados, xirallic)","MATÉRIA-PRIMA › Tintas","alta"
"147","Cabo Flexivel tipo-C","Apoio — Escritório, Cozinha, Limpeza e Cortesia","Informática / eletrônicos de apoio","ESCRITÓRIO / COZINHA-ALIMENTAÇÃO / DESPESAS FIXAS / Cortesia","media"
"148","Plugue Macho","Peças, Fixação e Conexões","Conexões e redução (pneumática/hidráulica)","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","media"
"149","Aluminio Graudo","Matéria-Prima — Tintas e Toners (Cor)","Toners de efeito (alumínios, perolizados, xirallic)","MATÉRIA-PRIMA › Tintas","alta"
"150","Laranja Especial","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"151","Laranja","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"152","Branco","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"153","Vermelho Oxido","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"154","Garra Jacaré 400a","Ferramentas Elétricas/Pneumáticas e Equipamentos","Acesso, apoio e infraestrutura elétrica","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","baixa"
"155","Pacote Estopa","Apoio — Escritório, Cozinha, Limpeza e Cortesia","Higiene e limpeza/zeladoria","ESCRITÓRIO / COZINHA-ALIMENTAÇÃO / DESPESAS FIXAS / Cortesia","baixa"
"156","Disco Hookit 800","Abrasivos e Polimento","Discos de lixa Hookit (orbital / velcro)","PRODUTIVO › Consumíveis abrasivos (sugerir subconta 'Abrasivos')","alta"
"157","Disco Finishing Foam","Abrasivos e Polimento","Discos e compostos de polimento/refino","PRODUTIVO › Consumíveis abrasivos (sugerir subconta 'Abrasivos')","alta"
"158","Alicate de Corte","Ferramentas Manuais e Medição","Chaves de fenda, catraca e alicates","INVESTIMENTO › Internos (ativo durável)","alta"
"159","Palha de Aço","Abrasivos e Polimento","Fibras e fosqueamento manual","PRODUTIVO › Consumíveis abrasivos (sugerir subconta 'Abrasivos')","alta"
"160","Carvão Em Pó","Apoio — Escritório, Cozinha, Limpeza e Cortesia","Escritório / administrativo","ESCRITÓRIO / COZINHA-ALIMENTAÇÃO / DESPESAS FIXAS / Cortesia","baixa"
"161","Vermelho","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"162","Lixa Folha 80","Abrasivos e Polimento","Lixas em folha (manual / d'água)","PRODUTIVO › Consumíveis abrasivos (sugerir subconta 'Abrasivos')","alta"
"163","Preto","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"164","Disco Trizact Espuma 3000","Abrasivos e Polimento","Discos e compostos de polimento/refino","PRODUTIVO › Consumíveis abrasivos (sugerir subconta 'Abrasivos')","alta"
"165","Disco Trizact 1500","Abrasivos e Polimento","Discos e compostos de polimento/refino","PRODUTIVO › Consumíveis abrasivos (sugerir subconta 'Abrasivos')","alta"
"166","Combinada 14","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","media"
"167","Chave Biela L18","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"168","Combinada Catraca 14","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","media"
"169","Abraçadeira Nylon Preta","Peças, Fixação e Conexões","Abraçadeiras e presilhas","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","alta"
